index,items
0,"['sausage', 'whole milk', 'semi-finished bread', 'yogurt']"
1,"['whole milk', 'pastry', 'salty snack']"
2,"['canned beer', 'misc. beverages']"
3,"['sausage', 'hygiene articles']"
4,"['soda', 'pickled vegetables']"
5,"['frankfurter', 'curd']"
6,"['sausage', 'whole milk', 'rolls/buns']"
7,"['whole milk', 'soda']"
8,"['beef', 'white bread']"
9,"['frankfurter', 'soda', 'whipped/sour cream']"
10,"['frozen vegetables', 'other vegetables']"
11,"['butter', 'whole milk']"
12,"['tropical fruit', 'sugar']"
13,"['butter milk', 'specialty chocolate']"
14,"['sausage', 'rolls/buns']"
15,"['root vegetables', 'detergent']"
16,"['frozen meals', 'dental care']"
17,"['rolls/buns', 'rolls/buns']"
18,"['dish cleaner', 'cling film/bags']"
19,"['canned beer', 'frozen fish']"
20,"['other vegetables', 'hygiene articles']"
21,"['pip fruit', 'whole milk', 'tropical fruit']"
22,"['rolls/buns', 'red/blush wine', 'chocolate']"
23,"['other vegetables', 'shopping bags']"
24,"['whole milk', 'chocolate', 'packaged fruit/vegetables', 'rolls/buns']"
25,"['root vegetables', 'whole milk', 'pastry']"
26,"['rolls/buns', 'rolls/buns']"
27,"['whipped/sour cream', 'margarine']"
28,"['bottled water', 'softener', 'rolls/buns']"
29,"['whole milk', 'rice']"
30,"['shopping bags', 'skin care']"
31,"['whole milk', 'frankfurter', 'chicken', 'frankfurter', 'flour', 'chocolate', 'bottled beer', 'rolls/buns']"
32,"['hamburger meat', 'liquor (appetizer)', 'liver loaf', 'dessert']"
33,"['tropical fruit', 'soda', 'yogurt', 'root vegetables', 'yogurt', 'domestic eggs', 'white wine', 'photo/film']"
34,"['herbs', 'yogurt', 'newspapers']"
35,"['tropical fruit', 'yogurt']"
36,"['pastry', 'ketchup']"
37,"['canned fish', 'cocoa drinks']"
38,"['pip fruit', 'coffee', 'UHT-milk']"
39,"['kitchen towels', 'sliced cheese']"
40,"['bottled water', 'specialty bar']"
41,"['frankfurter', 'bottled water']"
42,"['pip fruit', 'candles', 'rolls/buns']"
43,"['curd cheese', 'pastry']"
44,"['whole milk', 'frankfurter', 'candles', 'grapes', 'herbs', 'other vegetables', 'yogurt']"
45,"['citrus fruit', 'candy', 'bottled water', 'rolls/buns']"
46,"['frankfurter', 'yogurt']"
47,"['tropical fruit', 'root vegetables', 'rolls/buns', 'onions', 'shopping bags']"
48,"['frozen vegetables', 'brown bread']"
49,"['processed cheese', 'whole milk']"
50,"['frozen meals', 'whole milk']"
51,"['white bread', 'meat', 'domestic eggs', 'roll products ']"
52,"['root vegetables', 'mayonnaise']"
53,"['other vegetables', 'mustard']"
54,"['hard cheese', 'napkins', 'bottled water']"
55,"['whole milk', 'candy']"
56,"['tropical fruit', 'frozen vegetables']"
57,"['mustard', 'whipped/sour cream']"
58,"['whole milk', 'sausage', 'bottled beer', 'yogurt']"
59,"['canned beer', 'cookware']"
60,"['hamburger meat', 'butter milk']"
61,"['whole milk', 'rolls/buns']"
62,"['citrus fruit', 'whole milk']"
63,"['salty snack', 'beef']"
64,"['fruit/vegetable juice', 'rolls/buns', 'chocolate']"
65,"['UHT-milk', 'bottled beer']"
66,"['chicken', 'red/blush wine']"
67,"['soft cheese', 'pip fruit']"
68,"['rolls/buns', 'frankfurter', 'oil', 'pip fruit', 'mayonnaise']"
69,"['brown bread', 'pet care']"
70,"['other vegetables', 'rolls/buns']"
71,"['yogurt', 'beef']"
72,"['other vegetables', 'root vegetables']"
73,"['soda', 'dessert', 'shopping bags']"
74,"['curd', 'long life bakery product']"
75,"['beverages', 'domestic eggs']"
76,"['butter milk', 'root vegetables']"
77,"['berries', 'cake bar']"
78,"['hamburger meat', 'red/blush wine']"
79,"['canned beer', 'shopping bags']"
80,"['canned beer', 'spices', 'rolls/buns', 'frozen fish']"
81,"['frozen meals', 'butter', 'newspapers', 'yogurt']"
82,"['rolls/buns', 'baking powder']"
83,"['liquor', 'curd', 'yogurt', 'tropical fruit']"
84,"['sliced cheese', 'butter']"
85,"['sausage', 'fruit/vegetable juice']"
86,"['beef', 'napkins']"
87,"['whole milk', 'whipped/sour cream']"
88,"['whipped/sour cream', 'root vegetables', 'rolls/buns', 'packaged fruit/vegetables']"
89,"['domestic eggs', 'soda']"
90,"['chicken', 'frozen meals']"
91,"['male cosmetics', 'curd']"
92,"['white bread', 'bottled beer', 'yogurt', 'berries']"
93,"['sausage', 'whipped/sour cream', 'specialty bar']"
94,"['fish', 'root vegetables', 'tropical fruit', 'other vegetables']"
95,"['coffee', 'shopping bags']"
96,"['ham', 'cream cheese ']"
97,"['canned beer', 'UHT-milk']"
98,"['sausage', 'dessert', 'rolls/buns', 'pickled vegetables']"
99,"['fruit/vegetable juice', 'salty snack', 'candy', 'dental care', 'butter']"
100,"['root vegetables', 'long life bakery product']"
101,"['citrus fruit', 'yogurt']"
102,"['root vegetables', 'whipped/sour cream', 'root vegetables', 'canned beer']"
103,"['softener', 'salt', 'whole milk']"
104,"['pork', 'hamburger meat']"
105,"['rolls/buns', 'bottled water']"
106,"['rolls/buns', 'red/blush wine']"
107,"['onions', 'canned beer', 'flower (seeds)']"
108,"['rolls/buns', 'sugar']"
109,"['soda', 'butter']"
110,"['specialty chocolate', 'root vegetables']"
111,"['rolls/buns', 'baking powder', 'onions', 'bottled water']"
112,"['dessert', 'ham']"
113,"['ice cream', 'pot plants']"
114,"['other vegetables', 'other vegetables', 'berries']"
115,"['beverages', 'cream cheese ']"
116,"['ice cream', 'whipped/sour cream']"
117,"['berries', 'soda', 'butter', 'other vegetables', 'white bread', 'cream cheese ']"
118,"['yogurt', 'root vegetables']"
119,"['white bread', 'whole milk', 'pastry', 'shopping bags']"
120,"['whipped/sour cream', 'newspapers']"
121,"['frankfurter', 'pastry']"
122,"['chicken', 'waffles']"
123,"['fruit/vegetable juice', 'dessert']"
124,"['sausage', 'snack products', 'rolls/buns']"
125,"['tropical fruit', 'soda', 'rolls/buns']"
126,"['tropical fruit', 'newspapers']"
127,"['pip fruit', 'cling film/bags', 'yogurt', 'cat food']"
128,"['bottled water', 'domestic eggs', 'frozen meals']"
129,"['whole milk', 'newspapers']"
130,"['pip fruit', 'white wine', 'white bread', 'salt']"
131,"['sausage', 'frozen vegetables']"
132,"['whole milk', 'yogurt', 'yogurt', 'rolls/buns']"
133,"['whole milk', 'frozen vegetables']"
134,"['fruit/vegetable juice', 'vinegar']"
135,"['citrus fruit', 'shopping bags', 'chewing gum', 'cake bar']"
136,"['frankfurter', 'yogurt', 'canned beer']"
137,"['tropical fruit', 'white bread', 'rolls/buns']"
138,"['whole milk', 'pip fruit', 'whipped/sour cream']"
139,"['other vegetables', 'specialty chocolate']"
140,"['Instant food products', 'whipped/sour cream', 'butter', 'cake bar']"
141,"['sausage', 'pork', 'butter', 'whole milk', 'fruit/vegetable juice']"
142,"['pip fruit', 'herbs', 'frozen meals']"
143,"['margarine', 'napkins']"
144,"['salty snack', 'rolls/buns']"
145,"['whole milk', 'pasta', 'rolls/buns']"
146,"['yogurt', 'rolls/buns']"
147,"['root vegetables', 'white bread']"
148,"['tropical fruit', 'chicken', 'onions', 'packaged fruit/vegetables']"
149,"['hamburger meat', 'yogurt']"
150,"['prosecco', 'dessert']"
151,"['chicken', 'frozen vegetables', 'candy']"
152,"['tropical fruit', 'brown bread', 'whole milk']"
153,"['beef', 'dessert']"
154,"['whole milk', 'other vegetables']"
155,"['citrus fruit', 'bottled water']"
156,"['citrus fruit', 'rolls/buns', 'whole milk']"
157,"['tropical fruit', 'sliced cheese']"
158,"['napkins', 'whole milk', 'chocolate marshmallow']"
159,"['tropical fruit', 'other vegetables']"
160,"['root vegetables', 'curd']"
161,"['fruit/vegetable juice', 'specialty chocolate', 'Instant food products']"
162,"['root vegetables', 'yogurt', 'butter', 'yogurt']"
163,"['chicken', 'onions']"
164,"['whole milk', 'pastry']"
165,"['pork', 'bottled water']"
166,"['curd', 'soda']"
167,"['sweet spreads', 'butter']"
168,"['pip fruit', 'soda']"
169,"['rolls/buns', 'condensed milk', 'whole milk', 'soda']"
170,"['rolls/buns', 'tropical fruit']"
171,"['butter', 'whole milk']"
172,"['white bread', 'candy']"
173,"['frankfurter', 'herbs']"
174,"['specialty bar', 'margarine']"
175,"['meat', 'whole milk']"
176,"['house keeping products', 'yogurt']"
177,"['whipped/sour cream', 'hygiene articles']"
178,"['UHT-milk', 'other vegetables', 'dishes']"
179,"['waffles', 'beverages']"
180,"['pasta', 'yogurt', 'cat food']"
181,"['fish', 'tropical fruit', 'red/blush wine', 'cream cheese ']"
182,"['other vegetables', 'soda', 'rolls/buns', 'dishes']"
183,"['tropical fruit', 'other vegetables', 'hamburger meat', 'popcorn', 'female sanitary products']"
184,"['hamburger meat', 'bottled beer']"
185,"['pork', 'coffee', 'frozen vegetables']"
186,"['shopping bags', 'shopping bags']"
187,"['beef', 'shopping bags']"
188,"['soda', 'hamburger meat']"
189,"['butter milk', 'yogurt', 'yogurt', 'margarine']"
190,"['soda', 'whole milk']"
191,"['root vegetables', 'grapes']"
192,"['frankfurter', 'whipped/sour cream']"
193,"['bottled water', 'chewing gum']"
194,"['chicken', 'beverages', 'coffee']"
195,"['pork', 'other vegetables', 'yogurt', 'shopping bags', 'soft cheese', 'detergent']"
196,"['butter', 'dog food']"
197,"['chicken', 'frozen vegetables']"
198,"['hamburger meat', 'pastry']"
199,"['other vegetables', 'whole milk']"
200,"['waffles', 'rolls/buns']"
201,"['whole milk', 'sugar']"
202,"['soda', 'soda']"
203,"['bottled beer', 'oil']"
204,"['frankfurter', 'citrus fruit', 'margarine']"
205,"['soda', 'fruit/vegetable juice']"
206,"['photo/film', 'other vegetables']"
207,"['pork', 'white wine']"
208,"['bottled water', 'yogurt', 'newspapers', 'soda']"
209,"['whipped/sour cream', 'meat spreads']"
210,"['pip fruit', 'other vegetables']"
211,"['ham', 'whole milk']"
212,"['salty snack', 'pickled vegetables']"
213,"['soda', 'domestic eggs', 'sliced cheese', 'soda']"
214,"['tropical fruit', 'UHT-milk']"
215,"['sausage', 'bottled water']"
216,"['yogurt', 'root vegetables']"
217,"['root vegetables', 'other vegetables']"
218,"['chicken', 'other vegetables']"
219,"['dessert', 'spread cheese']"
220,"['sausage', 'salty snack', 'cling film/bags']"
221,"['whole milk', 'tropical fruit', 'root vegetables', 'Instant food products', 'margarine']"
222,"['soda', 'fruit/vegetable juice', 'bottled beer']"
223,"['beef', 'chocolate']"
224,"['beverages', 'dessert']"
225,"['whipped/sour cream', 'hard cheese']"
226,"['ham', 'whipped/sour cream', 'ketchup']"
227,"['white bread', 'frozen fruits']"
228,"['tropical fruit', 'whole milk', 'other vegetables', 'long life bakery product']"
229,"['other vegetables', 'yogurt', 'whole milk', 'butter', 'shopping bags']"
230,"['whole milk', 'sauces']"
231,"['whole milk', 'citrus fruit']"
232,"['rolls/buns', 'candy']"
233,"['root vegetables', 'whole milk']"
234,"['cream cheese ', 'rolls/buns']"
235,"['long life bakery product', 'root vegetables', 'other vegetables']"
236,"['tropical fruit', 'rolls/buns']"
237,"['frankfurter', 'tropical fruit']"
238,"['tropical fruit', 'whole milk', 'long life bakery product', 'rum']"
239,"['hamburger meat', 'soda']"
240,"['red/blush wine', 'frozen fish']"
241,"['beef', 'dessert']"
242,"['root vegetables', 'bottled beer']"
243,"['oil', 'shopping bags']"
244,"['whole milk', 'other vegetables']"
245,"['whole milk', 'tropical fruit']"
246,"['hamburger meat', 'pork']"
247,"['rolls/buns', 'tropical fruit', 'coffee', 'chocolate']"
248,"['pork', 'spread cheese']"
249,"['soda', 'yogurt']"
250,"['salt', 'domestic eggs']"
251,"['pork', 'rolls/buns']"
252,"['brown bread', 'fruit/vegetable juice']"
253,"['bottled beer', 'tropical fruit', 'sliced cheese', 'dishes']"
254,"['cream cheese ', 'newspapers']"
255,"['citrus fruit', 'red/blush wine']"
256,"['yogurt', 'roll products ', 'fruit/vegetable juice']"
257,"['ham', 'other vegetables']"
258,"['frankfurter', 'canned beer']"
259,"['finished products', 'brown bread', 'dishes']"
260,"['yogurt', 'bottled water', 'domestic eggs']"
261,"['pip fruit', 'curd', 'pip fruit', 'prosecco']"
262,"['brown bread', 'salt']"
263,"['semi-finished bread', 'ketchup']"
264,"['oil', 'shopping bags']"
265,"['fruit/vegetable juice', 'flower (seeds)']"
266,"['misc. beverages', 'instant coffee']"
267,"['detergent', 'candy']"
268,"['UHT-milk', 'canned fish']"
269,"['frankfurter', 'citrus fruit', 'bottled water', 'fruit/vegetable juice']"
270,"['frankfurter', 'frozen meals', 'dishes']"
271,"['pip fruit', 'rolls/buns']"
272,"['sausage', 'butter', 'bottled water']"
273,"['frankfurter', 'chicken', 'butter', 'bottled water']"
274,"['ham', 'whole milk', 'whole milk', 'coffee']"
275,"['sausage', 'brown bread']"
276,"['other vegetables', 'butter']"
277,"['tropical fruit', 'soda']"
